date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,11.5,6.3,19,0,,128,3.4,,1019.9,
2024-01-02,8,5.4,13.3,0,,125,4.3,,1019.7,
2024-01-03,7.2,5.2,12.6,0,,153,3.2,,1020.1,
2024-01-04,9.2,4.8,16.1,0,,149,3.1,,1019.8,
2024-01-05,10.8,6,16.1,0,,162,2.1,,1019.5,
2024-01-06,9.7,4.5,18.4,0,,231,2.2,,1021.3,
2024-01-07,10.8,5,17.8,0,,135,2.8,,1021.9,
2024-01-08,11.4,5,17.7,0,,164,3,,1021.5,
2024-01-09,10.7,5.8,18,0,,285,4.4,,1021.4,
2024-01-10,9.5,4.5,19.6,0,,266,5.8,,1020.4,
2024-01-11,10.1,4.8,17,0,,127,2.7,,1019.8,
2024-01-12,11,4.5,17.2,0,,223,3,,1019.1,
2024-01-13,11.2,6.5,18.8,0,,103,4.8,,1018.1,
2024-01-14,10,4.5,16.4,0,,245,3.3,,1018.8,
2024-01-15,12.2,4.5,18.5,0,,219,3.4,,1017.6,
2024-01-16,9.2,2.5,17.4,0,,134,3.3,,1016.4,
2024-01-17,10.8,5,19,0,,112,3.7,,1016.7,
2024-01-18,11.8,5.5,19,0,,348,3.7,,1018.2,
2024-01-19,11.4,5.5,19,0,,94,3.8,,1019,
2024-01-20,8.8,6,13.5,0,,113,4.2,,1020.4,
2024-01-21,7.3,4.8,12.6,0,,200,4.5,,1020.1,
2024-01-22,7.5,4.4,11.4,0,,132,4,,1020.2,
2024-01-23,7.9,4.1,13.3,0,,197,4.4,,1020.9,
2024-01-24,8.6,3,13.6,0,,181,3.3,,1020.3,
2024-01-25,10.8,4,16.9,0.2,,185,3.1,,1021.7,
2024-01-26,13.3,8,19.1,0.5,,306,6.3,,1023.2,
2024-01-27,13,7,20.7,0,,288,8.5,,1021.5,
2024-01-28,14.8,10.1,20.1,2.1,,318,7.7,,1019.1,
2024-01-29,14.2,10.2,19,1.2,,290,7.8,,1020.2,
2024-01-30,12,8.6,15,0,,16,9.1,,1018.6,
2024-01-31,12.2,8.6,15.2,17,,60,14.5,,1016.4,
2024-02-01,10.1,5.1,15.7,22.1,,3,12.4,,1016,
2024-02-02,11,3.5,17,0,,312,10.9,,1022.7,
2024-02-03,10.2,4.9,12,0,,347,9.6,,1020.8,
2024-02-04,9.8,8.7,14.7,1,,351,9.6,,1018,
2024-02-05,9.9,4.5,16.9,0,,274,6.2,,1020.1,
2024-02-06,10.7,5,17.5,0,,305,7.8,,1021.5,
2024-02-07,11.1,5.7,17.4,0,,321,13.5,,1022.6,
2024-02-08,12.7,4,21,0,,305,15.5,,1020.8,
2024-02-09,13.1,4,21.5,0,,94,5.6,,1019.5,
2024-02-10,13.6,6,22,0,,342,7.1,,1023.4,
2024-02-11,13.7,6.8,21.8,0,,359,5.2,,1022.8,
2024-02-12,14.9,6.5,21,0,,17,3.8,,1021.7,
2024-02-13,15.4,7.8,23.5,0,,327,5.4,,1020.9,
