date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,19.7,14.1,26.9,0,,45,14.9,,1017.5,
2024-01-02,19.4,14.1,25.9,0,,37,13.2,,1016.7,
2024-01-03,20.4,16.3,25.8,0,,72,13.6,,1015.8,
2024-01-04,19.8,15.9,25,0,,71,20.3,,1016.7,
2024-01-05,19,14.3,24.9,0,,54,16.6,,1016.9,
2024-01-06,19.3,14.8,25.2,0,,60,23.1,,1018.2,
2024-01-07,19,14.1,25.5,0,,59,23.1,,1018.5,
2024-01-08,18.7,13.4,24.3,0,,16,16,,1018.5,
2024-01-09,18.7,14.2,24.6,0,,56,23.3,,1019.7,
2024-01-10,17.8,11.6,25.4,0,,50,17.8,,1019.4,
2024-01-11,17.4,10.4,25.2,0,,23,13.3,,1018.3,
2024-01-12,18.1,11,25.6,0,,23,11.7,,1016.8,
2024-01-13,18,11,24.3,0,,317,12.3,,1016.3,
2024-01-14,20.1,14.3,25.9,0,,323,12.2,,1017.1,
2024-01-15,19.2,13.1,24.6,0,,179,12.1,,1016.7,
2024-01-16,22.2,18.8,25.9,0,,264,17.5,,1012.3,
2024-01-17,21.9,18,27.3,0,,80,17.3,,1012.6,
2024-01-18,20.2,15,26.9,0,,52,16,,1016,
2024-01-19,19.7,13.7,26.1,0,,34,12.4,,1016.6,
2024-01-20,20,15.2,25.1,0.8,,290,10.5,,1017.2,
2024-01-21,20.7,15.7,26.5,0,,64,12.5,,1017.3,
2024-01-22,19.9,15.2,24.8,0,,301,11.7,,1017.2,
2024-01-23,20.4,14.5,26.9,0,,32,12.7,,1017.5,
2024-01-24,18.4,12,24.9,0,,128,12.2,,1017.6,
2024-01-25,19,12.8,24.4,0,,156,11.4,,1017.8,
2024-01-26,20.1,13.7,26,0,,69,16.3,,1019.3,
2024-01-27,20.3,15.1,26.2,0,,73,18.7,,1019.6,
2024-01-28,19.2,12.3,24.7,0,,312,13.6,,1017.6,
2024-01-29,22.6,18.1,27.6,0,,283,14.4,,1016.8,
2024-01-30,22,18.2,26.6,0.1,,260,12.7,,1016.1,
2024-01-31,22.3,18.9,26.3,0,,271,16.2,,1014.5,
2024-02-01,22.8,16,30,0,,306,17.8,,1014.8,
2024-02-02,23,19.7,26.9,0,,293,10.8,,1016.1,
2024-02-03,22.2,17.5,25.9,0,,163,20.8,,1015.5,
2024-02-04,22.8,19.8,26.1,0,,271,19.8,,1015.6,
2024-02-05,21.1,16.3,25.4,0,,261,15.1,,1016.5,
2024-02-06,20.9,15.9,25.7,0,,299,13.1,,1017,
2024-02-07,22,18.1,26.4,0,,27,18.6,,1019.6,
2024-02-08,20.5,16.2,26,0,,50,18.4,,1021.1,
2024-02-09,18.7,11.5,25.7,0,,320,13.1,,1018.6,
2024-02-10,21,16.2,27.8,0,,330,15.2,,1019.6,
2024-02-11,21,14.5,28,0,,32,16.5,,1020.2,
2024-02-12,21.1,15.3,27.4,0,,18,15.9,,1019,
2024-02-13,20.9,16.2,26.2,0,,24,12.4,,1019.1,
2024-02-14,20.6,14.1,27.8,0,,10,13.5,,1019.6,
2024-02-15,20.8,13.6,28.8,0,,358,13.8,,1018.9,
2024-02-16,21.7,13.9,30.8,0,,12,15.2,,1018.4,
2024-02-17,21.5,13.8,29.9,0,,317,13.2,,1015.2,
2024-02-18,22.7,19.1,26.6,0,,253,25.4,,1011.1,
2024-02-19,24.5,22.3,28.1,0,,252,27.9,,1009.8,
2024-02-20,23,19.1,26.4,0,,263,20.8,,1011.5,
2024-02-21,23,19.2,27.3,0,,272,21.9,,1011.6,
2024-02-22,22.4,16.6,29.1,0,,343,18.9,,1014.1,
2024-02-23,20.7,11.2,28.5,0,,322,15.5,,1015.9,
2024-02-24,22.5,16,30.5,0,,315,17.7,,1015,
2024-02-25,22.5,14.5,29.3,0,,70,15.4,,1014.7,
2024-02-26,23.5,18.4,29,0,,66,30.5,,1014,
2024-02-27,21,16,27.6,0,,54,35.4,,1016.1,
2024-02-28,22.9,16.6,29.5,0,,61,22.6,,1015.8,
2024-02-29,24.1,17.2,31.1,0,,92,15.5,,1012.4,
2024-03-01,20.9,18.5,23.5,10.3,,269,14.9,,1011.6,
2024-03-02,16.8,13.4,20.2,0,,313,29.9,,1013,
2024-03-03,15.2,10,20.2,0,,319,24.7,,1014.8,
2024-03-04,17.1,8.4,24.4,0,,337,16.1,,1016.5,
2024-03-05,19.6,12.6,26.3,0,,50,19.2,,1017.5,
2024-03-06,19.9,13.9,26,0,,357,14.9,,1016.4,
2024-03-07,22.1,16,28.1,0,,292,16.8,,1014.9,
2024-03-08,22.4,15.9,29.1,0,,5,14.8,,1016.1,
2024-03-09,23,16,30.1,0,,18,15.4,,1016.2,
2024-03-10,22.5,18.9,27.8,0.4,,345,15.7,,1016,
2024-03-11,22.5,18.2,27.1,0,,287,15.1,,1016.6,
2024-03-12,23.1,18.9,28.4,0,,291,17.2,,1015.9,
2024-03-13,24.4,20.6,30,0,,294,26.7,,1014,
2024-03-14,23.2,16.4,30.3,0,,327,22.2,,1014.8,
2024-03-15,23.9,16.5,32,0,,340,18.1,,1014.7,
2024-03-16,24.6,16.7,31.5,0,,312,16.4,,1014.3,
2024-03-17,26.2,18.4,33.7,0,,330,16.7,,1014.2,
2024-03-18,26.5,18.9,33.6,0,,298,15.3,,1014,
2024-03-19,26.5,20.9,34.4,0,,293,19.2,,1013.2,
2024-03-20,25.8,20.6,32.8,0,,290,14.8,,1013.3,
2024-03-21,26.4,22.3,32.7,0,,278,20.1,,1011.2,
2024-03-22,26.1,22.7,31.4,0,,267,22.7,,1008.6,
2024-03-23,25.7,22.4,30.4,0,,261,20.8,,1009.4,
2024-03-24,26.7,23.2,31.4,0,,263,20.9,,1010,
2024-03-25,27,22.1,33.5,0,,280,18.6,,1011.9,
2024-03-26,27.7,23,33.9,0,,279,20.3,,1011.4,
2024-03-27,26.7,23.2,31.1,0,,266,21,,1012.7,
2024-03-28,27.3,23.3,33.9,0,,272,22.1,,1011.8,
2024-03-29,25.1,22.2,28.7,0,,268,21.7,,1011.4,
2024-03-30,25,21.8,28.7,0,,263,26,,1012.5,
2024-03-31,27,19.7,34.3,0,,289,18.3,,1013.4,
2024-04-01,26.1,20.2,32.4,0,,275,17.9,,1011,
2024-04-02,26,22.6,30.1,0,,262,22.5,,1008.5,
2024-04-03,26.1,22.7,31.2,0,,255,21.1,,1008.7,
2024-04-04,26.4,22.4,31,0,,262,20.6,,1010.2,
2024-04-05,27.4,24.8,31.1,0,,268,27.1,,1009.9,
2024-04-06,26.5,23.5,30.6,0,,269,22.6,,1009.5,
2024-04-07,26.2,21.5,31.8,0,,279,20.5,,1009,
2024-04-08,27.2,20.2,34.6,0,,278,16.5,,1009.4,
2024-04-09,27.7,22.6,34.5,0,,284,20.9,,1009.4,
2024-04-10,26.4,22.7,31.4,0,,264,18.4,,1009,
2024-04-11,26.3,22.1,31,0,,264,14,,1009.2,
2024-04-12,26.8,22.8,32.8,0,,272,18.8,,1008.4,
2024-04-13,27.8,25.2,32.1,0,,267,19.4,,1008.8,
2024-04-14,26.2,24.3,29.3,3.4,,207,10.6,,1011.4,
2024-04-15,25.8,22.4,29.5,0.2,,317,12.9,,1013.1,
2024-04-16,27.4,23.3,33,0,,313,14.5,,1011.9,
2024-04-17,28.8,24.3,34.9,0,,182,14.4,,1009.3,
2024-04-18,27.1,24.8,30,2.7,,244,23.5,,1008.5,
2024-04-19,26.3,23.6,29.4,0,,264,30.5,,1007,
2024-04-20,27.4,24.1,32.3,0,,275,26,,1007.3,
2024-04-21,27.4,24,31.7,0,,270,25.6,,1007.7,
2024-04-22,27.4,24.2,31.7,0,,269,28.5,,1008.3,
2024-04-23,27.2,24.4,31.5,0,,257,23.1,,1007.3,
2024-04-24,27.1,23.9,31.3,0,,270,22.7,,1006.9,
2024-04-25,27.1,23.6,31.3,0,,265,24.6,,1007,
2024-04-26,27.8,24.6,31.3,0,,265,25.3,,1007.3,
2024-04-27,27.5,23.6,31.8,0,,257,23,,1008.4,
2024-04-28,28.7,24.6,35.3,0,,267,22.6,,1008.8,
2024-04-29,30.3,25,36.7,0,,292,24.1,,1009.5,
2024-04-30,30.2,24.1,37,0,,295,26.1,,1008.6,
2024-05-01,29.1,22.4,35.8,0,,298,23.3,,1006.5,
2024-05-02,28.7,19.8,36.4,0,,287,17.9,,1005.6,
2024-05-03,28.5,25.8,31.9,0,,263,23,,1006.6,
2024-05-04,28.8,26,33,0,,268,28.5,,1008.1,
2024-05-05,28.6,25.7,32.4,0,,269,28.1,,1006.7,
2024-05-06,29.9,26.4,34.6,0,,269,23.8,,1005.6,
2024-05-07,30,26.5,34.7,0,,263,22.8,,1006.1,
2024-05-08,29.5,25.5,34.6,0,,261,20,,1006.1,
2024-05-09,29.3,26.1,34.2,0,,251,20.4,,1005.2,
2024-05-10,29,25.8,33.2,0,,247,16.6,,1006.3,
2024-05-11,28.9,24.8,32.5,0,,216,15.4,,1007.8,
2024-05-12,29.4,25.1,33,0,,257,17.1,,1008,
2024-05-13,29.5,25.2,33.9,0,,247,15.8,,1007.9,
2024-05-14,28.9,24.5,33.8,0,,244,13.6,,1009.5,
2024-05-15,30,25.9,35.8,0,,279,18.7,,1009.7,
2024-05-16,29.7,25.9,34.5,0,,278,21.2,,1009.6,
2024-05-17,30.3,26.1,35.7,0,,275,22.8,,1007.5,
2024-05-18,30.7,26.3,37,0,,274,22,,1005.8,
2024-05-19,29.8,25.9,33.8,0,,259,21.7,,1004,
2024-05-20,31,27.8,35.2,0,,251,25.8,,1003.3,
2024-05-21,31.3,27.7,36,0,,270,25.6,,1002.8,
2024-05-22,31.4,28.3,35.8,0,,268,25.9,,1002.5,
2024-05-23,30.8,27.2,34.8,0,,266,23.6,,1001.4,
2024-05-24,30.7,27.3,35.3,0,,265,24.1,,1000.3,
2024-05-25,30.7,27.3,34.7,0,,262,21,,1000.9,
2024-05-26,30.8,27.9,34.5,0,,265,25.2,,1001.8,
2024-05-27,30.8,27.9,34.4,0,,267,30.5,,1000.8,
2024-05-28,31,28.3,34.5,0,,262,34.9,,999.2,
2024-05-29,32.9,28.4,41.6,0,,266,34.7,,997.2,
