date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,10.6,9.5,13.9,0,,,0.7,,1019.9,
2024-01-02,10.1,8.5,13.3,0,,347,0.8,,1019.3,
2024-01-03,9.4,7.5,13.3,0,,35,1.5,,1019.4,
2024-01-04,9,7.4,12,0,,5,0.2,,1019.4,
2024-01-05,9,7,11.5,0,,9,0.6,,1019.4,
2024-01-06,8.7,7,12.9,0,,355,0.2,,1021.1,
2024-01-07,8.8,6,13.2,0,,347,0.8,,1021.7,
2024-01-08,8.9,6.5,12,0,,0,1.8,,1021.6,
2024-01-09,8.4,7,9.6,0.1,,357,0.8,,1021.8,
2024-01-10,8.5,6.5,12.6,0,,347,1.3,,1020.5,
2024-01-11,9.1,6.5,12.5,0,,313,0,,1020.1,
2024-01-12,8.4,5,12.9,0,,340,0.6,,1019.1,
2024-01-13,9.5,6.5,14,0,,25,0.8,,1018.3,
2024-01-14,8.3,6,12,0,,347,0.8,,1018.6,
2024-01-15,8.4,5.5,13,0,,,0.6,,1018.1,
2024-01-16,8.7,6,13,0,,7,0.7,,1016.4,
2024-01-17,9.5,5,15,0,,351,0.8,,1016,
2024-01-18,10,7,15,0,,338,0.8,,1017.7,
2024-01-19,9.9,6,15,0,,3,0.6,,1019,
2024-01-20,9.2,7,12.8,0,,340,1.3,,1020.2,
2024-01-21,8.8,7,13.2,0,,336,0.9,,1019.8,
2024-01-22,8.9,7,11.7,0,,345,0.8,,1019.8,
2024-01-23,8.9,6.5,12.2,0,,4,1.1,,1020.3,
2024-01-24,8,6,11.9,0,,355,0.6,,1019.8,
2024-01-25,9.3,6,12.7,0,,,0.5,,1021.6,
2024-01-26,11.4,7,17,0,,340,1.6,,1022.1,
2024-01-27,13.4,8,21,0,,324,1.5,,1020.6,
2024-01-28,14.7,10,21,0,,347,0.5,,1018,
2024-01-29,15.1,12,20,0,,15,1.1,,1018.7,
2024-01-30,15.9,9.8,22,0,,19,1.5,,1017,
2024-01-31,14.8,10.1,17.5,0,,51,2.4,,1015.4,
2024-02-01,14.3,9.3,19.5,17,,49,3.5,,1015,
2024-02-02,13.8,7.4,19,0,,358,1.4,,1020.8,
2024-02-03,13.7,7.9,17.5,0,,347,2.9,,1018.8,
2024-02-04,13.2,8.2,17.5,3.6,,14,2.4,,1016.9,
2024-02-05,12.5,7,18.5,3.6,,346,0.8,,1019.1,
2024-02-06,13.2,7.5,20,0,,345,1.5,,1020.6,
2024-02-07,13.8,7.5,20.2,0,,324,3,,1021.7,
2024-02-08,14.9,8,22.3,0,,284,4.4,,1019.7,
2024-02-09,15.9,8.5,23.8,0,,314,2,,1018.1,
2024-02-10,15.2,8.5,22.8,0,,0,0,,1021.7,
2024-02-11,15.9,9,24,0,,355,0.2,,1021.4,
2024-02-12,15.1,8.8,21.5,0,,357,0.2,,1020.3,
2024-02-13,16.7,9.5,24,0,,360,0.6,,1019.4,
2024-02-14,17.4,9.2,24.5,0,,331,1.7,,1019.2,
2024-02-15,17.7,9.5,25.3,0,,353,0.5,,1019.4,
2024-02-16,16.9,9.5,25.6,0,,339,0.8,,1019.8,
2024-02-17,18.3,9.4,25.5,0,,356,0.5,,1015.5,
2024-02-18,17.2,10.2,20,0,,23,5.3,,1011.1,
2024-02-19,19.4,13.6,23.5,0,,81,11.9,,1006.6,
2024-02-20,17.2,15,21,0,,353,3.2,,1009.4,
2024-02-21,16.6,10.5,23,0,,335,0.9,,1011.8,
2024-02-22,16.7,10,23.6,0,,340,2.6,,1014.2,
2024-02-23,17.3,10.2,24,0,,346,3.8,,1016.2,
2024-02-24,16.9,10.2,24.2,0,,347,2.3,,1016.5,
2024-02-25,17.1,10,23.5,0,,6,0.8,,1019.5,
2024-02-26,15.7,9.8,20.5,0,,341,2,,1019.4,
2024-02-27,16.2,9.2,22,0,,342,2.9,,1019.3,
2024-02-28,18.1,9.8,24,0,,340,1.9,,1017,
2024-02-29,20,10.4,26,0,,337,1.6,,1014.9,
2024-03-01,17.8,12.6,22,0,,21,6.8,,1014,
2024-03-02,18.6,14.1,24,1.5,,94,12.8,,1007.4,
2024-03-03,14.9,9,20.5,2.5,,167,7,,1011.1,
2024-03-04,14.8,8.5,19.5,0,,343,1.4,,1017.6,
2024-03-05,15.2,9.8,20.5,0,,339,1.5,,1018.5,
2024-03-06,17.4,9,23.5,0,,348,0.8,,1015.6,
2024-03-07,18.1,13,24,0.9,,1,2.1,,1015.5,
2024-03-08,18.5,12.3,24.5,0,,337,1.8,,1016.4,
2024-03-09,19.6,11.6,26.5,0,,326,2.2,,1016,
2024-03-10,20.9,11.8,26,0,,331,0.2,,1015,
2024-03-11,19.3,12.6,24.5,0,,350,0.7,,1016.6,
2024-03-12,20.4,13,27.4,0,,324,1.9,,1015.5,
2024-03-13,18.2,16,22,0,,351,2.5,,1012.3,
2024-03-14,20.9,12.9,27,0,,330,4.1,,1016.2,
2024-03-15,21.8,13.5,28,0,,336,2.8,,1014.7,
2024-03-16,21.2,13.5,29,0,,339,2,,1015.3,
2024-03-17,22.7,15,28.8,0,,348,2.1,,1015.3,
2024-03-18,22.8,16,30,0,,336,2.6,,1013,
2024-03-19,23.8,15.2,31,0,,340,1.6,,1012.7,
2024-03-20,25.9,16.5,32.5,0,,339,1.4,,1013.2,
2024-03-21,25.1,20,29.4,0,,109,3.6,,1011.1,
2024-03-22,24.6,19,30,0,,45,4.7,,1009.9,
2024-03-23,25.5,18.5,31.5,0,,339,2.5,,1008.5,
2024-03-24,24.9,19,30,4.8,,314,5.3,,1010.2,
2024-03-25,26.3,20.5,32,0,,297,2,,1011.8,
2024-03-26,26.2,22,31.8,0,,343,1.1,,1010.4,
2024-03-27,25.4,22.4,30.2,0.5,,335,5,,1013.1,
2024-03-28,24.5,21.1,29.4,0,,316,7.5,,1011.6,
2024-03-29,25.5,20.9,31.1,3.9,,329,5.9,,1009.7,
2024-03-30,23.6,20.6,27.2,2.5,,16,6.5,,1010.5,
2024-03-31,23.2,18.7,28,0,,330,5.8,,1012.7,
2024-04-01,24,19.1,29.4,0,,281,4,,1009.7,
2024-04-02,24.8,18,31,0,,302,2.2,,1007.3,
2024-04-03,26.8,19,33.3,0,,14,1.4,,1008.2,
2024-04-04,25,19.2,34.5,0,,350,4.2,,1009.2,
2024-04-05,27.3,20.5,33.2,0,,317,4.9,,1008.5,
2024-04-06,27.6,18.5,33.5,0,,343,4.3,,1008.3,
2024-04-07,27.9,20,34.5,0,,340,3.3,,1007.5,
2024-04-08,27.1,20,35,0,,337,2.1,,1008.5,
2024-04-09,28,19,36.2,0,,351,0.4,,1009.3,
2024-04-10,28.8,21.5,36,0,,4,1.9,,1009.3,
2024-04-11,28.3,21,35.2,0,,44,9.6,,1011,
2024-04-12,29.4,20.5,35.5,0,,34,4.4,,1009.8,
2024-04-13,24,21.5,28.5,0,,342,4.7,,1009.5,
2024-04-14,23,18.8,27.5,0,,349,4.2,,1012.6,
2024-04-15,25,19.5,32.5,1.3,,2,5.1,,1011.5,
2024-04-16,25.9,17.5,32.3,0,,327,5.3,,1011.7,
2024-04-17,27.4,19.6,34,0,,333,2.9,,1008.6,
2024-04-18,28.2,22.5,33,0,,344,4.9,,1006.6,
2024-04-19,26.4,23.5,34,0,,49,6.1,,1003.7,
2024-04-20,27.1,20.1,33.2,0,,330,3.9,,1005.6,
2024-04-21,28.2,20.8,35,0,,315,4.4,,1005.8,
2024-04-22,28.2,23,34.5,0,,319,4.2,,1006.4,
2024-04-23,26.6,19,31.8,0,,334,2.5,,1006.6,
2024-04-24,29.2,19.9,35.3,1,,345,2.3,,1006.1,
2024-04-25,30.1,20.6,37.2,0,,338,2,,1005.9,
2024-04-26,28.6,24,38,0,,340,3.9,,1004.5,
2024-04-27,26.8,20,31.8,6.1,,340,6.5,,1006.1,
2024-04-28,28.2,20.1,34.5,0,,39,4.7,,1007,
2024-04-29,22.4,16.5,30,0,,25,10,,1007.3,
2024-04-30,22.9,15,31.5,18.3,,336,6.9,,1007.6,
2024-05-01,24.3,18,30.5,0,,302,6.4,,1004.2,
2024-05-02,28.2,17.9,35,0,,312,3.8,,1005,
2024-05-03,29.8,19,34.5,0,,351,1.1,,1005,
2024-05-04,30.7,23,37.2,0,,332,7.2,,1005.9,
2024-05-05,32,22.9,37.8,0,,344,4.5,,1002.5,
2024-05-06,31.6,24,40,0,,317,2.4,,1002.5,
2024-05-07,34,24.5,40.5,0,,330,2.5,,1003.7,
2024-05-08,33.6,24.4,41.5,0,,349,2.2,,1003.4,
2024-05-09,32.5,26.2,39.5,0,,104,5.7,,1002.6,
2024-05-10,30.9,25,39.5,0,,137,10.6,,1004.1,
2024-05-11,30.6,22.4,36,2.3,,307,6.5,,1007.2,
2024-05-12,28.4,23,34,3.8,,3,5.7,,1007.9,
2024-05-13,32.4,24,38.5,0,,347,2.6,,1008.4,
2024-05-14,33.3,25,40,0,,316,2.9,,1007.4,
2024-05-15,35.6,26,41,0,,340,2.5,,1006.5,
2024-05-16,36.4,28.5,42.2,0,,338,2.3,,1006,
2024-05-17,36.4,29,43,50,,321,2.6,,1003.1,
2024-05-18,37.2,29.6,43.5,0,,336,3.3,,1000.9,
2024-05-19,37.4,28,42.5,0,,339,1.5,,998.9,
2024-05-20,37.9,27.8,43.5,0,,324,2.6,,999.2,
2024-05-21,36.5,31,43.5,0,,331,4.8,,1000,
2024-05-22,37.6,27.9,43.5,0,,23,1.5,,999.9,
2024-05-23,36.6,28.8,41.8,0,,25,2.8,,999.4,
2024-05-24,34.2,28,42.5,0,,77,5.8,,999.6,
2024-05-25,35.3,26,42.5,0,,350,5.5,,999,
2024-05-26,37.6,28.6,44.2,0,,321,3.6,,996.5,
2024-05-27,37.9,29,45.3,0,,304,3.4,,994,
2024-05-28,38.3,27.5,45.5,0,,344,1.5,,991.8,
2024-05-29,38.1,28,45.3,0,,323,2.3,,992,
2024-05-30,36.2,28.4,44.5,0,,346,4,,995.2,
2024-05-31,37.3,27,44.3,0,,2,1.6,,997.9,
2024-06-01,36.9,29.5,43.5,0,,341,3.2,,998.5,
2024-06-02,37.2,28.5,43,0,,338,2,,1000.2,
2024-06-03,35,28.5,43.5,0,,268,6.6,,999.2,
2024-06-04,35.5,24.4,41.3,1,,301,4.6,,999,
2024-06-05,31.3,26.5,41.5,0,,8,4.4,,1000.3,
2024-06-06,31.3,24.5,39,1.3,,355,5.3,,1003.9,
2024-06-07,34.1,24.6,39,0,,329,4.1,,1002.4,
2024-06-08,33.4,27.5,39,0,,300,6.3,,1001,
2024-06-09,35.6,26.5,42,0,,327,2.9,,1000.3,
2024-06-10,35.6,29,42,0,,310,2.8,,1000,
2024-06-11,38.5,28.2,43.5,0,,295,3.4,,998.7,
2024-06-12,39.4,28,44,0,,295,1.8,,998.5,
2024-06-13,37.1,30.5,43.5,0,,275,4.8,,997.8,
2024-06-14,37.4,29,44,0,,302,2.5,,997,
2024-06-15,37.4,30.4,43,0,,281,4.8,,997.2,
2024-06-16,38.9,30.5,44,0,,275,6.3,,997.2,
