date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,11.4,5,19,0,,6,3.8,,1019,
2024-01-02,9.8,4,17,0,,4,4.5,,1017.8,
2024-01-03,6.9,4.5,10,0,,22,4.5,,1018.9,
2024-01-04,5.9,4.5,8,0,,12,4.7,,1019.8,
2024-01-05,6.3,3,10,0,,359,4.8,,1019.6,
2024-01-06,6.2,3,16.9,0,,359,4.9,,1021.2,
2024-01-07,5.1,1,11,0,,5,3.9,,1021.5,
2024-01-08,6.1,-1,13,0,,14,3.7,,1021.1,
2024-01-09,7.4,0,16,0,,3,4.9,,1021.3,
2024-01-10,9.6,2.5,19,0,,357,4.1,,1020,
2024-01-11,10,2,20,0,,9,4.5,,1018.9,
2024-01-12,11.5,3,20,0,,9,4.4,,1018.2,
2024-01-13,11.3,6,19,0,,11,4.9,,1017.1,
2024-01-14,11.4,4,22,0,,3,4.6,,1018.2,
2024-01-15,10.6,4,19,0,,20,4.3,,1016.4,
2024-01-16,9.9,3.5,16,0,,8,5.3,,1014.8,
2024-01-17,11.1,4,20,0,,278,4.8,,1016.3,
2024-01-18,11,4.5,20,0,,12,4.4,,1017.6,
2024-01-19,11.1,4,19.5,0,,6,5,,1017.9,
2024-01-20,10.4,4,17,0,,5,5.4,,1018.8,
2024-01-21,10,5,17,0,,358,4.8,,1018.6,
2024-01-22,6.9,4,15.6,0,,10,3.8,,1019,
2024-01-23,5.4,3,7,0,,360,4.4,,1020.2,
2024-01-24,5.9,5,8,0,,4,5,,1019.7,
2024-01-25,7.7,4,15.5,0,,33,4.9,,1021.5,
2024-01-26,10.4,6,17,0,,40,5.1,,1023.3,
2024-01-27,12.4,5,19,0,,281,7.2,,1021.8,
2024-01-28,13.4,5,17.5,1.2,,286,12.4,,1018.8,
2024-01-29,13,9,18,0,,67,5.3,,1021.3,
2024-01-30,11.9,8,16,0,,298,4.8,,1018.8,
2024-01-31,11.2,7.5,15,1.3,,356,5.8,,1015.8,
2024-02-01,11.3,7,19.5,0.5,,357,6.2,,1016,
2024-02-02,10.5,2.5,18.3,0,,319,5.6,,1023.1,
2024-02-03,9.8,2.5,13,0,,325,5.9,,1020.9,
2024-02-04,11.9,6.6,18.5,0,,290,4.8,,1018.2,
2024-02-05,9.2,4,19.5,0,,348,6.2,,1020.1,
2024-02-06,11,3.5,20.5,0,,344,5.1,,1020.9,
2024-02-07,11.5,3,22.2,0,,328,7,,1022.7,
2024-02-08,11.5,3,24,0,,277,8.7,,1021.2,
2024-02-09,13.2,4.5,25,0,,261,4.8,,1018.7,
2024-02-10,13.1,3,26.4,0,,216,5.5,,1022.5,
2024-02-11,13.4,3,25.5,0,,313,5.2,,1022,
2024-02-12,13.4,4,24.5,0,,21,4.6,,1020.9,
2024-02-13,13.9,4,26.5,0,,235,5.2,,1020.9,
