date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.2,1,13.5,0,,124,7.3,,1021.4,
2024-01-02,7.8,3,14,0,,200,9.8,,1019.2,
2024-01-03,7.6,2.5,12.7,0,,139,7.8,,1018.3,
2024-01-04,8.3,3,14.1,1.7,,117,7.7,,1017.7,
2024-01-05,7.5,5.5,10.7,11.1,,331,7.6,,1018.8,
2024-01-06,6.9,2.3,12.7,0,,93,8.2,,1020.1,
2024-01-07,6.4,-1,13,0,,124,8.7,,1020.2,
2024-01-08,5.2,2.6,8,3.9,,247,15.1,,1023,
2024-01-09,3.6,-2.3,9.6,0,,228,6.2,,1025.2,
2024-01-10,5.9,-0.5,12.2,0,,189,5.3,,1022.7,
2024-01-11,8.3,0,15.5,0,,118,5.8,,1019.5,
2024-01-12,10.2,4,16.4,0,,131,7.7,,1016.6,
2024-01-13,8.8,4,15,0,,79,7.7,,1016.9,
2024-01-14,8.9,2,15.5,0,,133,6.1,,1019.1,
2024-01-15,9.8,6,16,0,,137,7,,1018.3,
2024-01-16,9.2,3,16,0,,194,9,,1015.9,
2024-01-17,8.5,3,14,0,,229,11.1,,1016.4,
2024-01-18,7.1,2.5,14,0,,183,10.5,,1019.4,
2024-01-19,7.5,0.5,14,0,,198,8.2,,1019.4,
2024-01-20,7.7,2,13,0,,209,9.3,,1020.6,
2024-01-21,6.8,2.2,11.9,0,,205,7.5,,1021,
2024-01-22,6.4,0,11.4,0,,218,10.8,,1020.2,
2024-01-23,5.7,0,12,0,,204,11.1,,1021.8,
2024-01-24,8.2,2.4,14.5,0,,189,7.4,,1019.9,
2024-01-25,11.2,7,17.4,0,,141,11,,1016,
2024-01-26,11.3,5.6,18.3,0,,146,11.8,,1018,
2024-01-27,11.4,6,18.1,0,,164,12.9,,1018.6,
2024-01-28,11,6.8,16,2.2,,161,16.9,,1016.2,
2024-01-29,11.8,6.2,17.5,0,,136,10.4,,1017.8,
2024-01-30,10.9,5.4,16.5,2,,208,15.4,,1016.9,
2024-01-31,7.6,1.5,13,0,,237,17.8,,1018.4,
2024-02-01,5.7,1,11,0,,246,14.4,,1020.7,
2024-02-02,7,1.4,12.5,1.8,,141,18.7,,1017.9,
2024-02-03,10.5,5.5,15.5,7.9,,190,22.6,,1013.9,
2024-02-04,6.2,1.4,10,0,,266,17.8,,1019.2,
2024-02-05,4.1,-2.5,11,0,,218,9,,1020.6,
2024-02-06,6.9,-0.6,12.5,0,,155,14.4,,1018.9,
2024-02-07,7.2,0.5,13.5,0,,147,11.4,,1023.3,
2024-02-08,7.1,0,14.5,0,,139,7.8,,1024.2,
2024-02-09,7.5,0.5,14.5,0,,141,9.4,,1021,
2024-02-10,9.1,0.5,16.5,0,,151,8.8,,1023.1,
2024-02-11,9.5,2.5,16.5,0,,125,9.4,,1023.3,
2024-02-12,10.5,3.9,16,0,,161,9.8,,1021.5,
2024-02-13,9.7,2,17.5,0,,151,9.3,,1021.6,
2024-02-14,10.1,1.5,18.5,0,,199,8.5,,1022.7,
2024-02-15,10.4,1.5,19,0,,149,8.1,,1022.4,
2024-02-16,12.3,3,21,0,,136,8,,1021.5,
2024-02-17,13.9,4.5,22,0,,129,9.2,,1016.1,
2024-02-18,16,5.9,22,0,,153,18.6,,1008.3,
2024-02-19,7.5,3.5,11.5,0,,250,24.1,,1011.6,
2024-02-20,6.1,-0.5,11.5,0,,252,12.3,,1017.1,
2024-02-21,6.9,0.5,12.5,0,,254,13.6,,1016.4,
2024-02-22,5.7,0.5,10.5,0,,251,16.4,,1019.5,
2024-02-23,6.3,-3,12.5,0,,249,13.9,,1020.2,
2024-02-24,6.2,-0.5,12.5,0,,223,14.4,,1019.7,
2024-02-25,8.6,1.4,12.5,0,,143,18.5,,1018.6,
2024-02-26,4.4,1.5,5.5,4.1,,145,21,,1019.3,
2024-02-27,6,2.9,10.5,21.1,,148,10.5,,1020.5,
2024-02-28,8.8,3,12.5,2,,160,10.1,,1018.7,
2024-02-29,9.4,5.9,13,21.1,,158,17.1,,1014.7,
2024-03-01,5.2,-0.5,9.4,15.6,,226,23,,1015.7,
2024-03-02,-2.6,-4.5,-1.5,2,10,256,28.1,,1020.1,
2024-03-03,-0.9,-5.2,11,0,,266,19.5,,1021.2,
2024-03-04,3.1,-4.5,9.5,0,,305,8.8,,1021.6,
2024-03-05,5,-2.6,9,0,,148,14.9,,1018.8,
2024-03-06,4.9,2.3,7.5,5.1,,187,13.4,,1018,
2024-03-07,5.2,-0.3,11,0,,340,7.6,,1020.3,
2024-03-08,10,1.6,14.5,0,,139,7.5,,1020.5,
2024-03-09,12,3.8,18.5,0,,144,10.8,,1018.8,
2024-03-10,10.8,4.9,16,0,,158,16,,1017.3,
2024-03-11,8.9,5.5,14,5.1,,161,8.5,,1019.9,
2024-03-12,10.3,4.5,17,8.9,,148,14.3,,1018.3,
