Station,"Pressure (mb)
Station Level Sea Level",Column3,"Temperature (°C)
Mean Maximum Minimum",Column5,Column6,"Vapor (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,852.6,1490.3,16.2,22.2,10.2,8.7,80.6,9.0
,853.6,1496.3,17.2,23.6,10.7,7.9,99.2,12.0
Peshawar,973.0,1010.2,24.3,31.3,17.2,16.3,25.3,8.0
,967.4,1007.7,23.6,30.6,16.5,15.2,50.4,9.3
Parachinar,830.2,1527.7,12.5,18.9,5.9,9.3,86.5,9.0
,826.5,1487.3,14.9,21.3,8.5,8.5,96.5,13.5
Rawalpindi,953.3,1010.1,23.4,29.6,17.2,12.5,42.0,8.0
,950.6,1007.3,22.5,30.2,15.4,13.4,63.1,9.2
Sargodha,987.6,1008.4,26.3,33.6,19.1,16.7,43.5,7.0
,986.0,1006.9,26.3,34.2,18.4,15.8,29.6,6.9
Jhelum,981.8,1008.2,25.6,33.6,17.5,16.5,44.2,5.0
,980.3,1006.8,25.4,33.0,17.8,15.1,36.0,8.0
Sialkot,980.2,1009.1,24.7,32.0,17.3,16.3,45.5,5.0
,978.0,1006.5,24.8,32.4,17.2,15.0,33.0,6.1
Zhob,856.9,1474.6,19.8,26.5,13.0,8.3,12.0,2.0
,856.3,1468.5,20.2,27.2,13.2,8.2,31.2,3.1
D.I.Khan,988.6,1008.0,26.8,34.2,19.3,18.9,22.0,3.0
,987.0,1006.5,25.9,33.5,18.5,15.8,24.1,5.6
Lahore,984.5,1008.7,26.6,33.4,19.8,15.2,67.8,4.0
,982.3,1006.3,27.0,34.0,20.0,14.8,22.3,6.3
Quetta,841.8,1506.5,18.2,24.9,11.4,6.1,9.0,4.0
,839.9,1487.3,17.0,25.3,8.6,8.8,22.2,3.9
Multan,994.1,1008.1,27.2,33.9,20.6,16.5,34.7,5.0
,992.4,1006.3,28.1,35.6,19.5,15.6,14.6,4.0
Barkhan,889.2,1485.7,21.3,27.8,14.7,9.9,41.0,7.0
,887.3,1480.0,23.5,29.6,17.0,9.3,37.3,3.3
Nokkundi,930.3,1004.2,27.2,34.3,20.1,5.9,4.0,1.0
,931.8,1008.3,25.8,34.2,18.6,10.5,2.3,0.5
Dalbandin,915.4,1492.4,25.3,33.5,17.1,7.5,0.0,0.0
,914.9,1488.8,24.4,31.9,14.3,8.0,5.7,1.0
Jacobabad,1001.4,1007.7,29.8,37.5,22.1,15.6,37.0,3.0
,999.4,1005.6,30.2,38.2,22.3,15.2,2.1,0.7
Khanpur,998.0,1008.0,28.4,36.7,20.0,17.0,12.1,2.0
,995.7,1005.8,27.7,37.1,18.4,15.3,3.1,1.1
Panjgur,900.3,1479.7,24.8,31.6,18.1,10.2,24.0,2.0
,901.8,1493.4,24.0,31.5,16.4,6.4,8.6,0.9
Khuzdar,877.0,1502.5,23.5,29.9,17.1,5.3,8.7,3.0
,873.9,1470.7,22.8,29.9,16.1,4.1,17.1,1.7
Nawabshah,1004.1,1007.4,29.9,38.5,21.3,18.0,0.0,0.0
,1002.7,1007.3,29.5,39.6,19.5,19.7,2.6,0.2
Jiwani,1003.0,1009.4,25.6,31.4,19.7,22.9,1.0,1.0
,1002.2,1008.5,26.7,31.9,21.9,22.7,4.6,0.2
Pasni,1008.9,1009.4,26.0,32.5,19.5,24.1,0.0,0.0
,1007.4,1008.1,26.2,33.0,20.8,21.8,1.2,0.1
Hyderabad,1002.9,1007.7,30.0,37.2,22.7,16.6,2.0,1.0
,1002.6,1006.6,31.0,38.8,23.0,17.7,5.1,0.4
Chhor,1006.9,1007.6,29.9,38.5,21.2,20.1,1.1,1.0
,1005.5,1006.1,29.9,39.6,20.2,17.3,1.6,0.3
Karachi,1006.2,1008.9,29.4,34.5,24.3,23.3,2.2,1.0
,1005.3,1008.0,28.5,34.5,22.5,22.2,3.2,0.2
