Station,"Pressure (mb)
Station Level Sea Level",Column3,"Temperature (°C)
Mean Maximum Minimum",Column5,Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,845.5,1416.3,29.2,36.3,22.1,16.3,10.8,4.0
,845.9,1420.8,29.0,35.9,23.3,15.8,20.0,4.7
Peshawar,963.5,999.4,31.9,37.2,26.0,31.8,4.0,2.0
,958.9,997.9,30.8,36.0,26.5,29.2,72.6,7.7
Parachinar,824.2,1459.0,21.6,28.2,15.1,17.3,17.0,3.0
,822.4,1437.8,23.0,28.8,18.2,18.4,97.4,12.5
Rawalpindi,945.3,1000.4,29.8,34.6,24.4,27.5,214.0,12.0
,944.0,999.2,27.9,33.4,24.2,28.5,348.1,16.7
Sargodha,978.8,998.7,33.7,39.1,27.3,33.6,34.7,2.0
,978.6,999.3,31.6,36.5,27.2,31.4,131.7,8.9
Jhelum,973.3,998.9,31.6,36.9,25.7,35.0,102.7,9.0
,973.8,999.0,29.9,34.4,25.9,31.1,251.6,14.8
Sialkot,971.9,1000.0,30.6,35.1,25.2,33.7,166.7,7.0
,971.6,999.6,29.0,33.2,25.2,31.8,323.5,14.2
Zhob,851.5,1420.8,31.5,37.9,23.4,16.5,8.0,1.0
,850.5,1410.3,28.9,35.4,23.1,17.7,49.7,3.7
D.I.Khan,979.1,997.8,34.3,40.2,27.2,35.7,28.0,2.0
,979.4,997.4,31.6,37.3,26.6,31.3,61.7,5.6
Lahore,976.7,1000.3,32.2,36.4,26.4,33.0,77.6,5.0
,975.5,999.1,30.7,34.9,26.8,31.5,194.5,12.7
Quetta,837.1,1453.5,28.0,35.1,23.1,6.4,0.0,0.0
,834.3,1423.2,26.6,35.0,20.3,12.5,13.2,1.5
Multan,985.3,998.8,32.9,37.0,28.9,33.2,45.0,1.0
,984.6,998.3,32.4,37.6,28.7,30.8,36.4,3.5
Barkhan,883.2,1436.3,29.4,35.8,22.8,23.7,27.0,4.0
,882.8,1428.6,28.9,34.5,23.8,22.2,87.7,4.8
Nokkundi,924.6,996.3,35.0,42.0,30.1,5.2,0.0,0.0
,923.7,995.1,33.5,41.7,28.6,11.7,0.4,0.1
Dalbandin,909.2,1450.5,34.0,42.6,28.7,11.6,0.0,0.0
,907.0,1433.4,32.4,40.8,24.9,9.3,0.3,0.1
Jacobabad,993.0,999.2,33.0,38.2,29.0,35.7,0.0,0.0
,991.8,997.9,33.0,37.8,29.1,32.2,35.4,1.3
Khanpur,989.6,999.4,33.0,38.7,28.7,33.5,3.0,1.0
,988.3,998.2,32.0,38.1,27.0,30.4,17.4,1.8
Panjgur,896.1,1449.9,31.8,38.7,25.7,12.2,0.0,0.0
,895.9,1437.3,30.7,38.1,24.8,10.1,7.4,0.5
Khuzdar,870.1,1437.5,28.2,34.8,22.9,8.5,3.4,1.0
,868.5,1411.7,30.4,35.7,24.1,9.0,57.4,3.4
Nawabshah,996.0,999.3,33.3,39.4,28.0,32.4,0.0,0.0
,995.1,998.9,32.3,38.6,27.4,31.8,46.3,1.6
Jiwani,996.0,1002.4,27.6,31.8,24.9,29.9,0.0,0.0
,994.5,1000.8,28.3,31.0,26.8,29.2,2.1,0.5
Pasni,1002.2,1002.7,29.0,33.3,26.8,30.8,1.0,1.0
,1000.0,1000.8,28.2,32.2,27.2,30.1,11.5,0.2
Hyderabad,996.3,1001.1,31.1,35.1,28.3,29.0,0.0,0.0
,995.6,999.6,31.3,36.0,27.7,29.1,63.1,2.4
Chhor,1001.0,1001.7,29.4,33.7,26.3,32.1,0.0,0.0
,999.1,992.1,30.0,34.7,26.4,30.2,69.3,3.2
Karachi,1000.3,1003.0,29.2,31.4,28.9,30.6,0.0,0.0
,998.6,1001.2,29.0,31.9,27.5,29.8,60.1,2.8
