Station,"Pressure (mb)
Station Level Sea Level",Column3,Column4,"Temperature (°C)
Mean Maximum Minimum",Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9,SheetName,Column5,"Vapor (mb)
Pressure"
Drosh,857.9,1539.1,3.4,7.8,-1.1,4.5,85.1,10.0,jan 23,,
,858.4,1535.3,4.6,9.2,0.1,4.3,48.6,6.1,jan 23,,
Peshawar,981.6,1020.9,11.2,18.5,3.8,7.6,10.9,1.0,jan 23,,
,975.8,1018.3,11.3,18.5,4.1,7.9,30.8,4.4,jan 23,,
Parachinar,829.9,1532.4,2.6,10.6,-5.5,4.1,40.7,6.0,jan 23,,
,828.3,1514.7,4.0,10.2,-3.0,4.1,47.6,2.9,jan 23,,
Rawalpindi,960.3,1020.2,10.7,16.4,4.8,7.8,43.3,4.0,jan 23,,
,958.5,1018.2,10.4,17.6,3.1,7.9,59.2,6.2,jan 23,,
Sargodha,996.4,1018.7,11.6,18.3,4.9,9.4,14.1,2.0,jan 23,,
,995.6,1017.4,12.1,19.9,4.3,9.4,16.8,4.1,jan 23,,
Jhelum,990.3,1018.3,10.9,17.5,4.2,9.9,43.5,3.0,jan 23,,
,989.7,1017.6,12.8,19.3,5.5,9.4,37.4,5.7,jan 23,,
Sialkot,988.5,1019.0,10.3,15.3,5.4,10.6,36.7,8.0,jan 23,,
,987.2,1017.5,11.6,18.2,5.1,10.1,41.8,5.0,jan 23,,
Zhob,860.9,1509.4,4.7,11.6,-2.2,4.0,7.0,2.0,jan 23,,
,860.1,1500.5,5.9,12.8,-1.0,4.7,20.0,1.7,jan 23,,
D.I.Khan,998.2,1018.8,13.0,20.7,5.3,8.7,1.0,1.0,jan 23,,
,996.8,1017.3,12.4,20.1,4.4,8.8,11.4,3.5,jan 23,,
Lahore,993.5,1019.2,12.0,17.3,6.8,10.0,8.3,3.0,jan 23,,
,991.9,1017.4,13.2,19.6,6.7,9.7,22.9,4.8,jan 23,,
Quetta,845.8,1549.3,2.6,8.2,-3.0,4.1,51.0,8.0,jan 23,,
,842.8,1519.0,4.1,10.8,-2.7,5.0,64.0,5.9,jan 23,,
Multan,1004.1,1018.9,12.1,19.2,5.0,8.7,2.2,1.0,jan 23,,
,1003.1,1018.0,12.9,20.9,5.0,9.3,8.2,2.0,jan 23,,
Barkhan,893.2,1507.3,9.4,16.1,2.7,3.2,3.0,1.0,jan 23,,
,893.2,1508.0,10.2,16.2,4.1,5.2,13.9,1.3,jan 23,,
