Station,"Pressure (mb)
Station Level Sea Level",Column3,Column4,"Temperature (°C)
Mean Maximum Minimum",Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,857.5,1536.0,7.2,12.4,1.9,5.4,53.2,6.0
,856.9,1521.9,5.8,10.7,1.0,4.6,74.4,7.4
Peshawar,978.6,1017.0,16.5,24.2,8.7,10.0,16.3,3.0
,973.8,1016.0,13.1,19.8,6.3,8.7,47.1,6.4
Parachinar,830.6,1535.3,7.1,15.4,-1.2,5.4,36.0,4.0
,827.2,1506.5,4.7,10.9,-1.8,4.6,76.5,5.6
Rawalpindi,957.8,1016.4,15.8,22.3,9.2,9.0,5.5,3.0
,956.4,1015.7,12.3,19.2,5.4,8.6,79.7,7.1
Sargodha,992.9,1014.5,18.8,26.8,10.7,12.0,4.0,1.0
,993.4,1015.0,14.8,22.4,7.1,10.4,24.5,5.5
Jhelum,986.9,1014.2,17.2,25.6,8.7,11.4,5.2,2.0
,987.5,1015.1,14.7,21.5,7.9,10.1,52.8,6.3
Sialkot,985.2,1015.0,16.8,24.3,9.3,12.6,0.0,0.0
,985.2,1015.1,14.0,20.7,7.4,10.9,48.5,5.7
Zhob,859.1,1494.7,12.8,21.7,3.8,3.9,0.0,0.0
,858.6,1487.3,8.0,14.6,1.5,5.2,25.0,2.4
D.I.Khan,994.6,1014.6,19.2,27.2,11.1,13.1,0.0,0.0
,994.7,1015.0,14.8,22.2,7.3,9.7,15.0,4.1
Lahore,989.9,1014.9,19.1,25.9,12.2,12.2,0.7,0.0
,989.7,1014.9,15.7,22.1,9.4,10.5,30.3,5.3
Quetta,844.8,1538.3,11.3,19.1,3.4,4.3,0.0,0.0
,841.5,1507.6,6.2,12.8,-0.9,5.7,49.5,6.6
Multan,1000.1,1014.5,19.0,26.8,11.1,12.3,0.0,0.0
,1000.6,1015.2,15.5,23.3,7.8,10.3,11.1,2.9
Barkhan,892.1,1507.5,16.9,24.5,9.2,4.6,0.0,0.0
,891.7,1496.8,12.0,17.9,6.4,5.8,21.2,1.9
Nokkundi,935.5,1011.7,19.2,27.5,10.9,5.0,0.0,0.0
,937.1,1015.0,14.1,21.6,6.2,6.5,7.6,1.0
Dalbandin,920.1,1518.5,17.9,27.1,8.6,5.4,0.0,0.0
,919.7,1504.3,12.3,20.4,4.6,6.1,16.3,1.5
Jacobabad,1007.9,1014.4,21.0,28.0,13.8,14.0,0.0,0.0
,1008.1,1014.6,17.8,25.2,10.3,10.0,6.9,0.7
Khanpur,1003.8,1014.2,20.1,29.0,11.2,13.7,0.0,0.0
,1004.1,1014.5,15.8,24.2,7.4,10.1,5.3,1.4
Panjgur,906.0,1523.7,18.3,27.1,9.4,10.4,0.0,0.0
,905.6,1507.7,12.7,19.6,5.7,4.2,16.5,1.5
Khuzdar,879.3,1520.3,18.3,24.7,11.9,5.3,0.0,0.0
,877.3,1487.0,12.0,18.8,5.2,3.0,29.9,1.7
Nawabshah,1010.8,1014.2,22.6,31.5,13.7,15.4,0.0,0.0
,1011.3,1015.0,17.8,27.2,8.4,11.9,3.3,0.2
Jiwani,1008.8,1015.4,21.2,27.8,14.5,18.0,0.0,0.0
,1008.6,1015.1,20.0,25.1,14.9,14.8,31.0,0.9
Pasni,1014.7,1015.3,21.9,29.4,14.3,17.0,0.0,0.0
,1013.4,1014.2,19.6,26.5,13.4,13.4,21.5,0.6
Hyderabad,1008.8,1013.8,23.9,32.1,15.7,13.6,0.0,0.0
,1010.4,1014.5,20.7,27.7,13.7,11.0,4.3,0.9
Chhor,1013.1,1013.8,22.7,33.2,12.2,15.4,0.0,0.0
,1013.2,1013.8,19.0,29.3,8.5,10.4,3.6,0.3
Karachi,1011.8,1014.5,23.3,31.1,15.4,16.6,0.0,0.0
,1012.1,1014.8,20.4,27.9,13.0,12.2,10.4,1.0
