Station,"Pressure (mb)
Station Level Sea Level",Column3,Column4,"Temperature (°C)
Mean Maximum Minimum",Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,857.9,1539.1,3.4,7.8,-1.1,4.5,85.1,10.0
,858.4,1535.3,4.6,9.2,0.1,4.3,48.6,6.1
Peshawar,981.6,1020.9,11.2,18.5,3.8,7.6,10.9,1.0
,975.8,1018.3,11.3,18.5,4.1,7.9,30.8,4.4
Parachinar,829.9,1532.4,2.6,10.6,-5.5,4.1,40.7,6.0
,828.3,1514.7,4.0,10.2,-3.0,4.1,47.6,2.9
Rawalpindi,960.3,1020.2,10.7,16.4,4.8,7.8,43.3,4.0
,958.5,1018.2,10.4,17.6,3.1,7.9,59.2,6.2
Sargodha,996.4,1018.7,11.6,18.3,4.9,9.4,14.1,2.0
,995.6,1017.4,12.1,19.9,4.3,9.4,16.8,4.1
Jhelum,990.3,1018.3,10.9,17.5,4.2,9.9,43.5,3.0
,989.7,1017.6,12.8,19.3,5.5,9.4,37.4,5.7
Sialkot,988.5,1019.0,10.3,15.3,5.4,10.6,36.7,8.0
,987.2,1017.5,11.6,18.2,5.1,10.1,41.8,5.0
Zhob,860.9,1509.4,4.7,11.6,-2.2,4.0,7.0,2.0
,860.1,1500.5,5.9,12.8,-1.0,4.7,20.0,1.7
D.I.Khan,998.2,1018.8,13.0,20.7,5.3,8.7,1.0,1.0
,996.8,1017.3,12.4,20.1,4.4,8.8,11.4,3.5
Lahore,993.5,1019.2,12.0,17.3,6.8,10.0,8.3,3.0
,991.9,1017.4,13.2,19.6,6.7,9.7,22.9,4.8
Quetta,845.8,1549.3,2.6,8.2,-3.0,4.1,51.0,8.0
,842.8,1519.0,4.1,10.8,-2.7,5.0,64.0,5.9
Multan,1004.1,1018.9,12.1,19.2,5.0,8.7,2.2,1.0
,1003.1,1018.0,12.9,20.9,5.0,9.3,8.2,2.0
Barkhan,893.2,1507.3,9.4,16.1,2.7,3.2,3.0,1.0
,893.2,1508.0,10.2,16.2,4.1,5.2,13.9,1.3
Nokkundi,941.5,1021.2,8.1,15.5,0.7,3.5,0.3,0.0
,938.5,1017.8,11.4,18.8,3.9,6.2,8.4,0.6
Dalbandin,925.1,1536.0,6.6,14.4,-1.3,5.0,3.2,2.0
,921.6,1513.8,9.8,16.6,1.9,6.0,24.9,1.0
Jacobabad,1012.3,1019.0,14.1,20.5,7.6,9.6,4.0,1.0
,1010.8,1017.4,15.1,22.5,7.7,9.2,3.6,0.5
Khanpur,1007.9,1018.6,12.6,21.1,4.1,9.4,5.9,1.0
,1006.5,1017.3,13.2,21.7,4.7,9.2,3.8,1.1
Panjgur,909.2,1531.2,7.4,14.1,0.7,5.7,8.0,3.0
,906.9,1516.7,10.6,17.3,3.9,3.8,15.8,1.6
Khuzdar,882.1,1538.9,9.9,15.9,3.9,5.6,4.6,1.0
,877.9,1496.8,10.7,17.1,3.2,2.8,22.1,1.4
Nawabshah,1015.3,1018.7,15.1,22.7,7.4,10.1,0.0,0.0
,1013.8,1017.7,15.3,24.3,6.2,10.6,2.5,0.1
Jiwani,1012.5,1019.2,15.6,22.7,8.5,7.7,22.0,2.0
,1010.4,1016.9,19.0,24.1,13.9,13.1,22.0,1.5
Pasni,1018.5,1019.1,17.7,24.0,11.3,9.0,17.0,1.0
,1015.1,1015.9,18.3,25.1,12.1,12.3,23.8,1.4
Hyderabad,1012.8,1017.9,16.8,22.9,10.6,8.2,0.0,0.0
,1018.4,1016.9,18.1,24.8,11.4,10.1,2.0,0.5
Chhor,1016.7,1017.4,15.7,26.3,5.0,8.6,0.0,0.0
,1015.4,1016.0,16.2,26.6,5.7,9.0,1.1,0.3
Karachi,1015.1,1017.8,18.1,25.5,10.6,7.0,0.0,0.0
,1013.9,1016.8,18.1,25.9,10.8,10.6,10.8,0.7
