Station,"Pressure (mb)
Station Level Sea Level",Column3,"Temperature (°C)
Mean Maximum Minimum",Column5,Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,845.7,1419.1,29.0,35.9,22.1,17.0,16.8,6.0
,844.3,1404.2,30.1,36.9,23.3,14.9,22.1,5.4
Peshawar,964.0,1000.0,31.4,36.7,26.0,30.8,90.2,4.0
,956.5,995.3,32.1,37.7,26.5,27.9,46.1,6.9
Parachinar,824.1,1458.2,21.6,28.1,15.1,17.1,49.0,9.0
,821.2,1424.4,24.0,29.8,18.2,17.6,99.4,11.9
Rawalpindi,945.8,1001.1,28.9,33.5,24.4,26.0,408.0,13.0
,941.9,996.9,28.8,34.8,24.2,27.3,305.3,15.6
Sargodha,979.1,999.3,31.5,35.7,27.3,33.2,115.1,9.0
,976.7,996.7,32.5,37.9,27.2,30.3,113.6,9.5
Jhelum,973.7,999.4,30.2,34.6,25.7,34.0,346.4,12.0
,971.1,996.8,30.7,35.6,25.9,30.1,263.2,15.3
Sialkot,972.2,1000.4,29.3,33.3,25.2,32.4,422.4,15.0
,969.4,997.4,29.8,34.4,25.2,30.6,304.1,15.1
Zhob,852.1,1426.4,29.3,35.2,23.4,19.6,97.0,8.0
,848.3,1395.1,29.5,35.9,23.1,17.5,61.1,5.1
D.I.Khan,979.8,998.7,32.1,37.1,27.2,34.5,64.0,5.0
,976.7,995.5,32.5,38.4,26.6,30.6,60.5,5.9
Lahore,976.9,1000.6,30.2,33.9,26.4,33.1,468.0,14.0
,973.2,996.6,31.3,35.7,26.8,30.7,212.1,13.1
Quetta,835.8,1439.4,29.4,35.5,23.1,13.4,7.0,3.0
,832.6,1408.0,28.0,36.1,20.3,14.3,16.3,1.9
Multan,985.1,998.7,33.4,37.9,28.9,33.0,71.0,4.0
,982.3,995.7,33.8,39.0,28.7,30.4,60.3,4.4
Barkhan,882.6,1429.1,28.3,33.8,22.8,23.6,171.0,10.0
,880.7,1410.9,29.7,35.5,23.8,22.2,109.3,7.7
Nokkundi,921.9,993.3,36.9,43.6,30.1,7.5,0.0,0.0
,921.5,992.2,35.1,43.1,28.6,13.4,2.0,0.2
Dalbandin,906.5,1425.6,36.0,43.3,28.7,12.0,20.0,2.0
,904.7,1397.2,34.3,42.1,24.9,10.4,7.2,0.2
Jacobabad,991.9,998.0,34.6,40.3,29.0,34.8,145.0,7.0
,989.2,995.2,34.6,40.2,29.1,31.4,42.8,2.1
Khanpur,988.7,998.4,34.1,39.4,28.7,35.4,83.4,5.0
,985.9,995.7,33.3,39.6,27.0,29.9,25.8,2.6
Panjgur,894.2,1430.6,31.8,37.9,25.7,18.0,23.0,3.0
,893.6,1419.9,31.8,38.9,24.8,10.7,21.2,1.7
Khuzdar,868.8,1424.0,29.1,35.3,22.9,8.1,62.0,9.0
,863.3,1394.2,30.3,36.5,24.1,8.9,60.5,5.0
Nawabshah,994.9,998.2,33.9,39.8,28.0,34.1,120.0,7.0
,992.6,996.3,34.0,40.5,27.4,33.0,50.9,1.3
Jiwani,993.9,1000.2,29.2,33.5,24.9,31.9,5.0,1.0
,991.9,998.2,29.5,32.4,26.8,31.1,8.6,0.2
Pasni,999.6,1000.1,31.0,35.2,26.8,34.7,4.0,2.0
,997.1,997.7,29.2,33.3,27.2,31.0,5.0,0.5
Hyderabad,994.7,999.5,32.8,37.4,28.3,31.8,113.0,6.0
,993.3,996.8,32.5,37.3,27.7,30.2,45.5,2.0
Chhor,998.7,999.4,31.4,36.4,26.3,36.0,195.5,8.0
,996.8,997.4,31.4,36.4,26.4,31.1,79.3,3.3
Karachi,997.9,1000.6,31.9,34.9,28.9,34.3,40.4,6.0
,996.2,998.9,30.3,33.1,27.5,31.3,66.3,3.4
