Station,"Pressure (mb)
Station Level Sea Level",Column3,Column4,"Temperature (°C)
Mean Maximum Minimum",Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,846.1,1422.9,27.9,35.5,20.3,12.7,6.6,3.0
,846.7,1427.6,28.3,35.8,20.8,9.6,19.7,4.9
Peshawar,964.0,999.8,31.9,38.5,25.2,26.7,49.4,4.0
,956.5,995.4,33.0,40.2,25.4,20.0,12.1,4.0
Parachinar,825.5,1472.5,21.3,28.6,14.0,14.4,31.0,8.0
,821.8,1428.6,23.8,30.7,16.9,11.2,49.3,8.8
Rawalpindi,945.7,1000.8,30.1,35.7,24.4,21.0,174.0,9.0
,942.0,996.7,30.5,38.4,23.5,19.1,70.1,8.2
Sargodha,979.1,999.1,33.0,39.2,26.8,27.6,68.6,6.0
,977.0,995.7,34.2,41.6,26.8,22.9,33.4,6.0
Jhelum,973.6,999.3,31.5,37.9,25.0,27.9,190.1,9.0
,971.0,996.4,32.9,40.2,25.7,21.5,57.1,7.7
Sialkot,972.2,1000.3,30.5,36.5,24.4,27.2,199.1,9.0
,969.2,996.8,32.1,39.2,25.0,21.7,73.0,7.7
Zhob,852.3,1428.8,28.9,36.2,21.7,14.8,87.0,6.0
,850.0,1406.8,29.9,36.9,22.8,12.2,14.7,2.5
D.I.Khan,979.8,998.6,32.9,39.6,26.3,30.2,113.0,4.0
,976.9,995.7,33.7,41.1,26.3,23.6,22.2,3.0
Lahore,976.9,1000.4,31.9,37.3,26.5,26.7,291.1,10.0
,973.1,996.4,33.6,39.9,27.2,22.9,51.3,6.1
Quetta,836.4,1446.2,29.0,35.9,22.1,11.4,4.0,2.0
,834.3,1424.2,26.1,35.4,16.8,10.8,1.5,0.9
Multan,985.5,999.0,33.4,38.4,28.3,27.8,46.7,4.0
,982.5,995.8,35.4,42.2,28.6,23.7,15.1,2.4
Barkhan,883.1,1434.5,28.4,35.0,21.7,20.9,136.0,10.0
,881.4,1421.8,31.1,37.7,24.4,15.4,43.0,3.6
Nokkundi,922.3,993.8,37.0,44.8,29.1,6.1,0.0,0.0
,924.1,995.0,34.6,42.9,27.5,11.8,0.0,0.0
Dalbandin,907.4,1435.6,36.1,44.5,27.7,10.2,0.0,0.0
,907.0,1431.3,33.3,41.3,22.4,8.5,0.6,0.2
Jacobabad,992.6,998.7,36.5,43.1,29.8,30.1,22.0,1.0
,989.6,995.4,37.0,44.5,29.5,24.5,3.0,0.4
Khanpur,989.6,999.3,33.9,40.1,27.6,31.1,29.2,4.0
,986.2,995.9,34.8,42.7,27.0,24.9,3.4,0.8
Panjgur,894.6,1437.2,33.4,39.9,26.9,16.6,0.0,0.0
,896.5,1438.9,31.8,39.5,24.2,9.1,4.0,0.2
Khuzdar,870.0,1437.7,30.0,36.3,23.6,8.5,60.9,5.0
,866.5,1411.0,31.4,38.1,24.3,6.0,12.6,1.3
Nawabshah,995.5,998.8,34.7,41.3,28.1,31.8,12.0,3.0
,993.2,997.0,35.6,43.7,27.6,29.9,2.8,0.3
Jiwani,994.1,1000.4,30.4,35.3,25.4,33.0,0.0,0.0
,992.9,999.2,30.6,34.3,26.9,32.4,0.9,0.1
Pasni,999.9,1000.4,31.8,36.3,27.3,36.1,5.0,1.0
,998.3,999.0,30.0,35.2,26.8,32.1,0.4,0.0
Hyderabad,995.3,1000.1,33.5,38.9,28.1,29.7,8.6,2.0
,993.9,997.9,34.1,40.2,28.0,29.3,6.3,0.7
Chhor,999.6,1000.3,32.4,38.3,26.4,33.2,124.3,4.0
,997.3,997.9,33.6,40.3,26.9,29.1,18.4,1.2
Karachi,998.3,1000.9,32.6,36.0,29.3,33.6,4.0,1.0
,997.0,999.5,31.7,35.2,28.1,31.8,6.7,0.9
