Station,"Pressure (mb)
Station Level Sea Level",Column3,"Temperature (°C)
Mean Maximum Minimum",Column5,Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,855.0,1512.7,14.3,20.1,8.5,7.2,16.4,7.0
,855.5,1509.1,10.3,15.9,4.7,6.1,115.6,12.5
Peshawar,976.5,1014.3,20.1,26.8,13.3,14.2,60.7,5.0
,971.3,1012.7,17.1,23.7,11.0,11.6,83.3,10.4
Parachinar,832.4,1551.6,9.6,16.4,2.7,7.3,142.0,17.0
,827.3,1501.3,9.2,14.9,2.8,6.1,136.6,12.4
Rawalpindi,956.4,1014.3,19.2,24.9,13.5,11.8,85.0,11.0
,954.2,1012.3,16.8,23.7,10.1,10.8,97.1,10.6
Sargodha,991.4,1012.6,22.0,28.3,15.6,16.5,72.5,5.0
,990.5,1012.1,19.8,27.2,12.5,13.2,32.4,8.4
Jhelum,985.4,1012.4,20.8,27.9,13.6,16.1,68.9,10.0
,984.5,1011.6,18.8,26.3,12.5,12.5,68.8,9.2
Sialkot,983.9,1013.2,20.6,26.9,14.2,16.3,44.8,4.0
,982.5,1011.9,18.5,25.4,11.9,13.3,53.4,7.3
Zhob,858.0,1483.7,14.8,21.8,7.8,8.4,122.0,9.0
,857.6,1478.9,13.6,20.2,7.0,6.8,47.6,4.9
D.I.Khan,992.7,1012.5,22.1,28.6,15.6,17.2,82.0,7.0
,991.7,1011.2,19.6,26.5,12.7,13.1,37.4,7.4
Lahore,988.4,1013.0,22.2,27.9,16.4,16.6,62.1,4.0
,986.7,1011.4,20.5,26.9,14.2,13.2,38.4,7.4
Quetta,843.0,1519.3,14.2,20.0,8.3,7.2,80.0,10.0
,841.0,1500.7,11.1,18.1,3.6,7.2,61.7,7.3
Multan,998.1,1012.3,22.6,28.7,16.4,16.8,65.0,7.0
,997.3,1011.7,20.6,28.2,13.4,13.3,16.6,3.3
Barkhan,890.8,1496.8,18.2,23.9,12.5,9.7,131.0,9.0
,891.4,1490.9,17.1,23.3,11.1,7.7,31.4,3.3
Nokkundi,932.9,1008.1,22.8,29.9,15.7,7.6,6.8,4.0
,934.8,1011.2,19.1,26.9,11.9,8.6,7.3,1.0
Dalbandin,917.9,1502.7,20.7,28.4,12.9,8.9,13.7,6.0
,917.8,1499.9,17.8,25.7,9.1,7.4,12.4,1.5
Jacobabad,1005.5,1011.9,24.6,31.0,18.3,17.9,39.0,5.0
,1004.6,1010.9,23.5,30.9,16.2,12.6,10.6,1.0
Khanpur,1001.8,1012.1,24.0,31.5,16.5,17.9,19.6,4.0
,1000.7,1011.0,21.1,29.7,12.6,13.1,3.6,1.8
Panjgur,902.8,1496.2,20.6,27.1,14.1,9.7,35.0,5.0
,904.1,1503.3,17.9,25.0,10.9,5.3,17.7,1.4
Khuzdar,878.9,1517.3,19.8,25.8,13.6,6.7,89.6,9.0
,875.6,1482.0,16.9,23.5,10.4,3.6,26.0,1.7
Nawabshah,1008.0,1011.3,26.4,34.2,18.6,17.4,2.3,1.0
,1007.6,1011.4,23.5,33.0,13.9,15.3,2.4,0.1
Jiwani,1005.9,1012.4,23.2,29.4,16.9,20.7,9.0,1.0
,1005.9,1012.4,23.2,28.2,18.3,18.6,15.4,0.9
Pasni,1011.8,1012.3,23.6,30.5,16.7,22.6,52.0,2.0
,1011.1,1012.6,22.7,29.8,16.6,16.5,21.0,0.8
Hyderabad,1006.3,1011.2,27.0,33.6,20.4,15.3,1.0,1.0
,1007.0,1011.0,25.9,33.4,18.5,13.4,2.5,0.3
Chhor,1010.2,1010.9,26.8,35.6,18.0,17.0,0.0,0.0
,1009.7,1010.3,24.4,34.6,14.2,13.5,0.8,0.2
Karachi,1009.1,1011.8,27.1,33.2,20.9,18.3,5.7,1.0
,1009.2,1011.9,24.7,31.7,17.7,17.0,6.6,0.8
