Station,"Pressure (mb)
Station Level Sea Level",Column3,"Temperature (°C)
Mean Maximum Minimum",Column5,Column6,"Vapour (mb)
Pressure","Precipitation
Total (mm) Days",Column9
Drosh,850.9,1473.2,20.7,27.4,13.9,10.0,34.3,7.0
,852.0,1472.7,22.5,29.4,15.4,9.1,67.0,10.2
Peshawar,969.9,1006.5,27.7,34.3,21.0,18.2,27.0,2.0
,962.7,1002.0,29.1,36.6,21.5,16.1,23.8,7.2
Parachinar,828.3,1505.8,16.8,23.9,9.6,10.8,41.0,6.0
,827.0,1466.1,19.7,26.6,12.9,9.6,73.5,11.9
Rawalpindi,950.7,1006.8,26.6,32.5,20.7,13.5,26.4,9.0
,946.6,1002.2,27.5,35.6,20.1,14.5,34.1,8.3
Sargodha,984.6,1005.1,29.4,36.0,22.8,20.8,53.2,9.0
,981.3,1001.8,31.5,39.7,23.5,17.3,19.1,6.1
Jhelum,978.8,1004.9,28.5,35.9,21.1,18.5,62.8,8.0
,975.4,1001.5,30.5,38.4,22.6,16.0,27.3,7.0
Sialkot,977.4,1005.9,27.7,34.8,20.5,18.0,51.1,6.0
,973.8,1001.8,30.0,37.9,22.1,15.8,25.7,5.8
Zhob,855.7,1463.6,24.6,31.7,17.5,8.9,57.0,5.0
,853.8,1433.8,25.5,32.8,18.2,9.4,16.9,1.7
D.I.Khan,985.5,1004.7,30.3,37.3,23.3,21.9,36.0,4.0
,982.4,1001.0,31.2,39.0,23.4,17.7,17.0,3.4
Lahore,981.8,1005.7,29.4,35.7,23.1,19.1,43.7,6.0
,977.6,1001.2,31.7,38.9,24.5,16.7,20.8,5.7
Quetta,840.7,1492.8,23.3,30.3,16.3,6.1,13.0,3.0
,837.8,1466.3,21.6,30.8,12.4,9.9,5.5,2.8
Multan,990.9,1004.6,30.5,36.8,24.1,20.8,72.5,6.0
,987.4,1000.9,32.8,40.8,24.8,17.9,11.5,2.5
Barkhan,887.5,1474.8,26.1,32.8,19.4,11.4,96.0,6.0
,885.4,1459.3,28.7,35.1,22.1,11.4,20.3,2.4
Nokkundi,928.3,1001.0,32.7,40.2,25.2,6.0,0.0,0.0
,928.6,1001.4,31.2,39.4,24.0,11.5,0.3,0.2
Dalbandin,913.1,1482.3,31.5,39.2,23.8,10.3,2.0,2.0
,912.1,1473.0,29.6,37.7,19.2,8.5,1.6,0.8
Jacobabad,997.4,1003.6,34.1,42.1,26.1,21.5,10.0,4.0
,994.4,1000.7,35.2,43.4,26.9,18.2,3.1,0.8
Khanpur,994.4,1004.3,31.8,39.3,24.2,23.5,49.0,3.0
,991.1,1000.8,32.7,41.7,23.6,19.0,4.9,1.2
Panjgur,898.8,1473.5,30.0,36.7,23.2,10.9,0.0,0.0
,899.4,1476.4,28.9,36.5,21.3,8.1,2.5,0.3
Khuzdar,875.0,1486.5,27.8,34.2,21.4,6.9,7.9,4.0
,871.5,1450.3,27.9,35.0,20.6,4.5,13.2,1.5
Nawabshah,1000.5,1003.8,34.0,42.7,25.3,23.4,11.0,3.0
,998.3,1001.9,34.1,43.7,24.5,23.9,1.5,0.4
Jiwani,999.9,1006.3,29.3,34.9,23.6,30.5,0.0,0.0
,998.1,1004.4,29.6,34.2,25.1,28.4,0.2,0.1
Pasni,1006.0,1006.6,30.2,35.6,24.8,32.6,0.0,0.0
,1002.9,1003.6,29.1,35.4,24.3,27.6,0.7,0.1
Hyderabad,1000.1,1004.9,33.1,40.4,25.8,24.5,13.0,1.0
,998.6,1002.5,33.4,41.4,26.1,24.5,4.6,0.5
Chhor,1004.2,1004.9,32.7,41.0,24.4,26.4,12.4,2.0
,1001.7,1002.3,33.2,41.8,24.6,23.5,7.2,0.5
Karachi,1003.9,1006.5,31.5,35.6,27.5,30.7,14.9,1.0
,1001.8,1004.3,30.8,35.3,26.2,28.4,0.2,0.1
